hero,map,map_type,mode,pickrate,winrate
Sierra,Busan,Control,Competitive - Role Queue,52.9,0.526
Ramattra,Busan,Control,Competitive - Role Queue,10.3,0.517
Ana,Busan,Control,Competitive - Role Queue,21.4,0.457
Anran,Busan,Control,Competitive - Role Queue,12.6,0.5329999999999999
Ashe,Busan,Control,Competitive - Role Queue,8.7,0.493
Baptiste,Busan,Control,Competitive - Role Queue,5.1,0.446
Bastion,Busan,Control,Competitive - Role Queue,9.7,0.475
Brigitte,Busan,Control,Competitive - Role Queue,5.9,0.5429999999999999
Cassidy,Busan,Control,Competitive - Role Queue,10.8,0.47200000000000003
D.Va,Busan,Control,Competitive - Role Queue,10.0,0.47200000000000003
Domina,Busan,Control,Competitive - Role Queue,8.4,0.506
Doomfist,Busan,Control,Competitive - Role Queue,6.2,0.49200000000000005
Echo,Busan,Control,Competitive - Role Queue,4.8,0.491
Emre,Busan,Control,Competitive - Role Queue,10.2,0.48
Freja,Busan,Control,Competitive - Role Queue,3.9,0.449
Genji,Busan,Control,Competitive - Role Queue,11.3,0.511
Hanzo,Busan,Control,Competitive - Role Queue,6.4,0.484
Hazard,Busan,Control,Competitive - Role Queue,4.5,0.523
Illari,Busan,Control,Competitive - Role Queue,9.2,0.525
Jetpack Cat,Busan,Control,Competitive - Role Queue,11.0,0.485
Junker Queen,Busan,Control,Competitive - Role Queue,5.0,0.523
Junkrat,Busan,Control,Competitive - Role Queue,8.2,0.504
Juno,Busan,Control,Competitive - Role Queue,21.2,0.506
Kiriko,Busan,Control,Competitive - Role Queue,22.5,0.48200000000000004
Lifeweaver,Busan,Control,Competitive - Role Queue,14.9,0.506
Lúcio,Busan,Control,Competitive - Role Queue,8.5,0.525
Mauga,Busan,Control,Competitive - Role Queue,6.3,0.502
Mei,Busan,Control,Competitive - Role Queue,5.5,0.525
Mercy,Busan,Control,Competitive - Role Queue,23.5,0.488
Mizuki,Busan,Control,Competitive - Role Queue,15.8,0.523
Moira,Busan,Control,Competitive - Role Queue,20.8,0.502
Orisa,Busan,Control,Competitive - Role Queue,9.8,0.467
Pharah,Busan,Control,Competitive - Role Queue,3.7,0.532
Reaper,Busan,Control,Competitive - Role Queue,8.6,0.5379999999999999
Reinhardt,Busan,Control,Competitive - Role Queue,10.9,0.5429999999999999
Roadhog,Busan,Control,Competitive - Role Queue,8.3,0.457
Sigma,Busan,Control,Competitive - Role Queue,8.5,0.507
Sojourn,Busan,Control,Competitive - Role Queue,5.4,0.433
Soldier: 76,Busan,Control,Competitive - Role Queue,11.6,0.489
Sombra,Busan,Control,Competitive - Role Queue,4.1,0.467
Symmetra,Busan,Control,Competitive - Role Queue,2.3,0.541
Torbjörn,Busan,Control,Competitive - Role Queue,3.4,0.551
Tracer,Busan,Control,Competitive - Role Queue,4.4,0.498
Vendetta,Busan,Control,Competitive - Role Queue,3.8,0.469
Venture,Busan,Control,Competitive - Role Queue,2.6,0.524
Widowmaker,Busan,Control,Competitive - Role Queue,5.3,0.451
Winston,Busan,Control,Competitive - Role Queue,4.6,0.5329999999999999
Wrecking Ball,Busan,Control,Competitive - Role Queue,3.1,0.505
Wuyang,Busan,Control,Competitive - Role Queue,9.1,0.501
Zarya,Busan,Control,Competitive - Role Queue,4.3,0.46799999999999997
Zenyatta,Busan,Control,Competitive - Role Queue,11.2,0.545
Sierra,Ilios,Control,Competitive - Role Queue,52.9,0.526
Ramattra,Ilios,Control,Competitive - Role Queue,10.3,0.517
Ana,Ilios,Control,Competitive - Role Queue,21.4,0.457
Anran,Ilios,Control,Competitive - Role Queue,12.6,0.5329999999999999
Ashe,Ilios,Control,Competitive - Role Queue,8.7,0.493
Baptiste,Ilios,Control,Competitive - Role Queue,5.1,0.446
Bastion,Ilios,Control,Competitive - Role Queue,9.7,0.475
Brigitte,Ilios,Control,Competitive - Role Queue,5.9,0.5429999999999999
Cassidy,Ilios,Control,Competitive - Role Queue,10.8,0.47200000000000003
D.Va,Ilios,Control,Competitive - Role Queue,10.0,0.47200000000000003
Domina,Ilios,Control,Competitive - Role Queue,8.4,0.506
Doomfist,Ilios,Control,Competitive - Role Queue,6.2,0.49200000000000005
Echo,Ilios,Control,Competitive - Role Queue,4.8,0.491
Emre,Ilios,Control,Competitive - Role Queue,10.2,0.48
Freja,Ilios,Control,Competitive - Role Queue,3.9,0.449
Genji,Ilios,Control,Competitive - Role Queue,11.3,0.511
Hanzo,Ilios,Control,Competitive - Role Queue,6.4,0.484
Hazard,Ilios,Control,Competitive - Role Queue,4.5,0.523
Illari,Ilios,Control,Competitive - Role Queue,9.2,0.525
Jetpack Cat,Ilios,Control,Competitive - Role Queue,11.0,0.485
Junker Queen,Ilios,Control,Competitive - Role Queue,5.0,0.523
Junkrat,Ilios,Control,Competitive - Role Queue,8.2,0.504
Juno,Ilios,Control,Competitive - Role Queue,21.2,0.506
Kiriko,Ilios,Control,Competitive - Role Queue,22.5,0.48200000000000004
Lifeweaver,Ilios,Control,Competitive - Role Queue,14.9,0.506
Lúcio,Ilios,Control,Competitive - Role Queue,8.5,0.525
Mauga,Ilios,Control,Competitive - Role Queue,6.3,0.502
Mei,Ilios,Control,Competitive - Role Queue,5.5,0.525
Mercy,Ilios,Control,Competitive - Role Queue,23.5,0.488
Mizuki,Ilios,Control,Competitive - Role Queue,15.8,0.523
Moira,Ilios,Control,Competitive - Role Queue,20.8,0.502
Orisa,Ilios,Control,Competitive - Role Queue,9.8,0.467
Pharah,Ilios,Control,Competitive - Role Queue,3.7,0.532
Reaper,Ilios,Control,Competitive - Role Queue,8.6,0.5379999999999999
Reinhardt,Ilios,Control,Competitive - Role Queue,10.9,0.5429999999999999
Roadhog,Ilios,Control,Competitive - Role Queue,8.3,0.457
Sigma,Ilios,Control,Competitive - Role Queue,8.5,0.507
Sojourn,Ilios,Control,Competitive - Role Queue,5.4,0.433
Soldier: 76,Ilios,Control,Competitive - Role Queue,11.6,0.489
Sombra,Ilios,Control,Competitive - Role Queue,4.1,0.467
Symmetra,Ilios,Control,Competitive - Role Queue,2.3,0.541
Torbjörn,Ilios,Control,Competitive - Role Queue,3.4,0.551
Tracer,Ilios,Control,Competitive - Role Queue,4.4,0.498
Vendetta,Ilios,Control,Competitive - Role Queue,3.8,0.469
Venture,Ilios,Control,Competitive - Role Queue,2.6,0.524
Widowmaker,Ilios,Control,Competitive - Role Queue,5.3,0.451
Winston,Ilios,Control,Competitive - Role Queue,4.6,0.5329999999999999
Wrecking Ball,Ilios,Control,Competitive - Role Queue,3.1,0.505
Wuyang,Ilios,Control,Competitive - Role Queue,9.1,0.501
Zarya,Ilios,Control,Competitive - Role Queue,4.3,0.46799999999999997
Zenyatta,Ilios,Control,Competitive - Role Queue,11.2,0.545
Sierra,Lijiang Tower,Control,Competitive - Role Queue,52.9,0.526
Ramattra,Lijiang Tower,Control,Competitive - Role Queue,10.3,0.517
Ana,Lijiang Tower,Control,Competitive - Role Queue,21.4,0.457
Anran,Lijiang Tower,Control,Competitive - Role Queue,12.6,0.5329999999999999
Ashe,Lijiang Tower,Control,Competitive - Role Queue,8.7,0.493
Baptiste,Lijiang Tower,Control,Competitive - Role Queue,5.1,0.446
Bastion,Lijiang Tower,Control,Competitive - Role Queue,9.7,0.475
Brigitte,Lijiang Tower,Control,Competitive - Role Queue,5.9,0.5429999999999999
Cassidy,Lijiang Tower,Control,Competitive - Role Queue,10.8,0.47200000000000003
D.Va,Lijiang Tower,Control,Competitive - Role Queue,10.0,0.47200000000000003
Domina,Lijiang Tower,Control,Competitive - Role Queue,8.4,0.506
Doomfist,Lijiang Tower,Control,Competitive - Role Queue,6.2,0.49200000000000005
Echo,Lijiang Tower,Control,Competitive - Role Queue,4.8,0.491
Emre,Lijiang Tower,Control,Competitive - Role Queue,10.2,0.48
Freja,Lijiang Tower,Control,Competitive - Role Queue,3.9,0.449
Genji,Lijiang Tower,Control,Competitive - Role Queue,11.3,0.511
Hanzo,Lijiang Tower,Control,Competitive - Role Queue,6.4,0.484
Hazard,Lijiang Tower,Control,Competitive - Role Queue,4.5,0.523
Illari,Lijiang Tower,Control,Competitive - Role Queue,9.2,0.525
Jetpack Cat,Lijiang Tower,Control,Competitive - Role Queue,11.0,0.485
Junker Queen,Lijiang Tower,Control,Competitive - Role Queue,5.0,0.523
Junkrat,Lijiang Tower,Control,Competitive - Role Queue,8.2,0.504
Juno,Lijiang Tower,Control,Competitive - Role Queue,21.2,0.506
Kiriko,Lijiang Tower,Control,Competitive - Role Queue,22.5,0.48200000000000004
Lifeweaver,Lijiang Tower,Control,Competitive - Role Queue,14.9,0.506
Lúcio,Lijiang Tower,Control,Competitive - Role Queue,8.5,0.525
Mauga,Lijiang Tower,Control,Competitive - Role Queue,6.3,0.502
Mei,Lijiang Tower,Control,Competitive - Role Queue,5.5,0.525
Mercy,Lijiang Tower,Control,Competitive - Role Queue,23.5,0.488
Mizuki,Lijiang Tower,Control,Competitive - Role Queue,15.8,0.523
Moira,Lijiang Tower,Control,Competitive - Role Queue,20.8,0.502
Orisa,Lijiang Tower,Control,Competitive - Role Queue,9.8,0.467
Pharah,Lijiang Tower,Control,Competitive - Role Queue,3.7,0.532
Reaper,Lijiang Tower,Control,Competitive - Role Queue,8.6,0.5379999999999999
Reinhardt,Lijiang Tower,Control,Competitive - Role Queue,10.9,0.5429999999999999
Roadhog,Lijiang Tower,Control,Competitive - Role Queue,8.3,0.457
Sigma,Lijiang Tower,Control,Competitive - Role Queue,8.5,0.507
Sojourn,Lijiang Tower,Control,Competitive - Role Queue,5.4,0.433
Soldier: 76,Lijiang Tower,Control,Competitive - Role Queue,11.6,0.489
Sombra,Lijiang Tower,Control,Competitive - Role Queue,4.1,0.467
Symmetra,Lijiang Tower,Control,Competitive - Role Queue,2.3,0.541
Torbjörn,Lijiang Tower,Control,Competitive - Role Queue,3.4,0.551
Tracer,Lijiang Tower,Control,Competitive - Role Queue,4.4,0.498
Vendetta,Lijiang Tower,Control,Competitive - Role Queue,3.8,0.469
Venture,Lijiang Tower,Control,Competitive - Role Queue,2.6,0.524
Widowmaker,Lijiang Tower,Control,Competitive - Role Queue,5.3,0.451
Winston,Lijiang Tower,Control,Competitive - Role Queue,4.6,0.5329999999999999
Wrecking Ball,Lijiang Tower,Control,Competitive - Role Queue,3.1,0.505
Wuyang,Lijiang Tower,Control,Competitive - Role Queue,9.1,0.501
Zarya,Lijiang Tower,Control,Competitive - Role Queue,4.3,0.46799999999999997
Zenyatta,Lijiang Tower,Control,Competitive - Role Queue,11.2,0.545
Sierra,Nepal,Control,Competitive - Role Queue,52.9,0.526
Ramattra,Nepal,Control,Competitive - Role Queue,10.3,0.517
Ana,Nepal,Control,Competitive - Role Queue,21.4,0.457
Anran,Nepal,Control,Competitive - Role Queue,12.6,0.5329999999999999
Ashe,Nepal,Control,Competitive - Role Queue,8.7,0.493
Baptiste,Nepal,Control,Competitive - Role Queue,5.1,0.446
Bastion,Nepal,Control,Competitive - Role Queue,9.7,0.475
Brigitte,Nepal,Control,Competitive - Role Queue,5.9,0.5429999999999999
Cassidy,Nepal,Control,Competitive - Role Queue,10.8,0.47200000000000003
D.Va,Nepal,Control,Competitive - Role Queue,10.0,0.47200000000000003
Domina,Nepal,Control,Competitive - Role Queue,8.4,0.506
Doomfist,Nepal,Control,Competitive - Role Queue,6.2,0.49200000000000005
Echo,Nepal,Control,Competitive - Role Queue,4.8,0.491
Emre,Nepal,Control,Competitive - Role Queue,10.2,0.48
Freja,Nepal,Control,Competitive - Role Queue,3.9,0.449
Genji,Nepal,Control,Competitive - Role Queue,11.3,0.511
Hanzo,Nepal,Control,Competitive - Role Queue,6.4,0.484
Hazard,Nepal,Control,Competitive - Role Queue,4.5,0.523
Illari,Nepal,Control,Competitive - Role Queue,9.2,0.525
Jetpack Cat,Nepal,Control,Competitive - Role Queue,11.0,0.485
Junker Queen,Nepal,Control,Competitive - Role Queue,5.0,0.523
Junkrat,Nepal,Control,Competitive - Role Queue,8.2,0.504
Juno,Nepal,Control,Competitive - Role Queue,21.2,0.506
Kiriko,Nepal,Control,Competitive - Role Queue,22.5,0.48200000000000004
Lifeweaver,Nepal,Control,Competitive - Role Queue,14.9,0.506
Lúcio,Nepal,Control,Competitive - Role Queue,8.5,0.525
Mauga,Nepal,Control,Competitive - Role Queue,6.3,0.502
Mei,Nepal,Control,Competitive - Role Queue,5.5,0.525
Mercy,Nepal,Control,Competitive - Role Queue,23.5,0.488
Mizuki,Nepal,Control,Competitive - Role Queue,15.8,0.523
Moira,Nepal,Control,Competitive - Role Queue,20.8,0.502
Orisa,Nepal,Control,Competitive - Role Queue,9.8,0.467
Pharah,Nepal,Control,Competitive - Role Queue,3.7,0.532
Reaper,Nepal,Control,Competitive - Role Queue,8.6,0.5379999999999999
Reinhardt,Nepal,Control,Competitive - Role Queue,10.9,0.5429999999999999
Roadhog,Nepal,Control,Competitive - Role Queue,8.3,0.457
Sigma,Nepal,Control,Competitive - Role Queue,8.5,0.507
Sojourn,Nepal,Control,Competitive - Role Queue,5.4,0.433
Soldier: 76,Nepal,Control,Competitive - Role Queue,11.6,0.489
Sombra,Nepal,Control,Competitive - Role Queue,4.1,0.467
Symmetra,Nepal,Control,Competitive - Role Queue,2.3,0.541
Torbjörn,Nepal,Control,Competitive - Role Queue,3.4,0.551
Tracer,Nepal,Control,Competitive - Role Queue,4.4,0.498
Vendetta,Nepal,Control,Competitive - Role Queue,3.8,0.469
Venture,Nepal,Control,Competitive - Role Queue,2.6,0.524
Widowmaker,Nepal,Control,Competitive - Role Queue,5.3,0.451
Winston,Nepal,Control,Competitive - Role Queue,4.6,0.5329999999999999
Wrecking Ball,Nepal,Control,Competitive - Role Queue,3.1,0.505
Wuyang,Nepal,Control,Competitive - Role Queue,9.1,0.501
Zarya,Nepal,Control,Competitive - Role Queue,4.3,0.46799999999999997
Zenyatta,Nepal,Control,Competitive - Role Queue,11.2,0.545
Sierra,Oasis,Control,Competitive - Role Queue,52.9,0.526
Ramattra,Oasis,Control,Competitive - Role Queue,10.3,0.517
Ana,Oasis,Control,Competitive - Role Queue,21.4,0.457
Anran,Oasis,Control,Competitive - Role Queue,12.6,0.5329999999999999
Ashe,Oasis,Control,Competitive - Role Queue,8.7,0.493
Baptiste,Oasis,Control,Competitive - Role Queue,5.1,0.446
Bastion,Oasis,Control,Competitive - Role Queue,9.7,0.475
Brigitte,Oasis,Control,Competitive - Role Queue,5.9,0.5429999999999999
Cassidy,Oasis,Control,Competitive - Role Queue,10.8,0.47200000000000003
D.Va,Oasis,Control,Competitive - Role Queue,10.0,0.47200000000000003
Domina,Oasis,Control,Competitive - Role Queue,8.4,0.506
Doomfist,Oasis,Control,Competitive - Role Queue,6.2,0.49200000000000005
Echo,Oasis,Control,Competitive - Role Queue,4.8,0.491
Emre,Oasis,Control,Competitive - Role Queue,10.2,0.48
Freja,Oasis,Control,Competitive - Role Queue,3.9,0.449
Genji,Oasis,Control,Competitive - Role Queue,11.3,0.511
Hanzo,Oasis,Control,Competitive - Role Queue,6.4,0.484
Hazard,Oasis,Control,Competitive - Role Queue,4.5,0.523
Illari,Oasis,Control,Competitive - Role Queue,9.2,0.525
Jetpack Cat,Oasis,Control,Competitive - Role Queue,11.0,0.485
Junker Queen,Oasis,Control,Competitive - Role Queue,5.0,0.523
Junkrat,Oasis,Control,Competitive - Role Queue,8.2,0.504
Juno,Oasis,Control,Competitive - Role Queue,21.2,0.506
Kiriko,Oasis,Control,Competitive - Role Queue,22.5,0.48200000000000004
Lifeweaver,Oasis,Control,Competitive - Role Queue,14.9,0.506
Lúcio,Oasis,Control,Competitive - Role Queue,8.5,0.525
Mauga,Oasis,Control,Competitive - Role Queue,6.3,0.502
Mei,Oasis,Control,Competitive - Role Queue,5.5,0.525
Mercy,Oasis,Control,Competitive - Role Queue,23.5,0.488
Mizuki,Oasis,Control,Competitive - Role Queue,15.8,0.523
Moira,Oasis,Control,Competitive - Role Queue,20.8,0.502
Orisa,Oasis,Control,Competitive - Role Queue,9.8,0.467
Pharah,Oasis,Control,Competitive - Role Queue,3.7,0.532
Reaper,Oasis,Control,Competitive - Role Queue,8.6,0.5379999999999999
Reinhardt,Oasis,Control,Competitive - Role Queue,10.9,0.5429999999999999
Roadhog,Oasis,Control,Competitive - Role Queue,8.3,0.457
Sigma,Oasis,Control,Competitive - Role Queue,8.5,0.507
Sojourn,Oasis,Control,Competitive - Role Queue,5.4,0.433
Soldier: 76,Oasis,Control,Competitive - Role Queue,11.6,0.489
Sombra,Oasis,Control,Competitive - Role Queue,4.1,0.467
Symmetra,Oasis,Control,Competitive - Role Queue,2.3,0.541
Torbjörn,Oasis,Control,Competitive - Role Queue,3.4,0.551
Tracer,Oasis,Control,Competitive - Role Queue,4.4,0.498
Vendetta,Oasis,Control,Competitive - Role Queue,3.8,0.469
Venture,Oasis,Control,Competitive - Role Queue,2.6,0.524
Widowmaker,Oasis,Control,Competitive - Role Queue,5.3,0.451
Winston,Oasis,Control,Competitive - Role Queue,4.6,0.5329999999999999
Wrecking Ball,Oasis,Control,Competitive - Role Queue,3.1,0.505
Wuyang,Oasis,Control,Competitive - Role Queue,9.1,0.501
Zarya,Oasis,Control,Competitive - Role Queue,4.3,0.46799999999999997
Zenyatta,Oasis,Control,Competitive - Role Queue,11.2,0.545
Sierra,Samoa,Control,Competitive - Role Queue,52.9,0.526
Ramattra,Samoa,Control,Competitive - Role Queue,10.3,0.517
Ana,Samoa,Control,Competitive - Role Queue,21.4,0.457
Anran,Samoa,Control,Competitive - Role Queue,12.6,0.5329999999999999
Ashe,Samoa,Control,Competitive - Role Queue,8.7,0.493
Baptiste,Samoa,Control,Competitive - Role Queue,5.1,0.446
Bastion,Samoa,Control,Competitive - Role Queue,9.7,0.475
Brigitte,Samoa,Control,Competitive - Role Queue,5.9,0.5429999999999999
Cassidy,Samoa,Control,Competitive - Role Queue,10.8,0.47200000000000003
D.Va,Samoa,Control,Competitive - Role Queue,10.0,0.47200000000000003
Domina,Samoa,Control,Competitive - Role Queue,8.4,0.506
Doomfist,Samoa,Control,Competitive - Role Queue,6.2,0.49200000000000005
Echo,Samoa,Control,Competitive - Role Queue,4.8,0.491
Emre,Samoa,Control,Competitive - Role Queue,10.2,0.48
Freja,Samoa,Control,Competitive - Role Queue,3.9,0.449
Genji,Samoa,Control,Competitive - Role Queue,11.3,0.511
Hanzo,Samoa,Control,Competitive - Role Queue,6.4,0.484
Hazard,Samoa,Control,Competitive - Role Queue,4.5,0.523
Illari,Samoa,Control,Competitive - Role Queue,9.2,0.525
Jetpack Cat,Samoa,Control,Competitive - Role Queue,11.0,0.485
Junker Queen,Samoa,Control,Competitive - Role Queue,5.0,0.523
Junkrat,Samoa,Control,Competitive - Role Queue,8.2,0.504
Juno,Samoa,Control,Competitive - Role Queue,21.2,0.506
Kiriko,Samoa,Control,Competitive - Role Queue,22.5,0.48200000000000004
Lifeweaver,Samoa,Control,Competitive - Role Queue,14.9,0.506
Lúcio,Samoa,Control,Competitive - Role Queue,8.5,0.525
Mauga,Samoa,Control,Competitive - Role Queue,6.3,0.502
Mei,Samoa,Control,Competitive - Role Queue,5.5,0.525
Mercy,Samoa,Control,Competitive - Role Queue,23.5,0.488
Mizuki,Samoa,Control,Competitive - Role Queue,15.8,0.523
Moira,Samoa,Control,Competitive - Role Queue,20.8,0.502
Orisa,Samoa,Control,Competitive - Role Queue,9.8,0.467
Pharah,Samoa,Control,Competitive - Role Queue,3.7,0.532
Reaper,Samoa,Control,Competitive - Role Queue,8.6,0.5379999999999999
Reinhardt,Samoa,Control,Competitive - Role Queue,10.9,0.5429999999999999
Roadhog,Samoa,Control,Competitive - Role Queue,8.3,0.457
Sigma,Samoa,Control,Competitive - Role Queue,8.5,0.507
Sojourn,Samoa,Control,Competitive - Role Queue,5.4,0.433
Soldier: 76,Samoa,Control,Competitive - Role Queue,11.6,0.489
Sombra,Samoa,Control,Competitive - Role Queue,4.1,0.467
Symmetra,Samoa,Control,Competitive - Role Queue,2.3,0.541
Torbjörn,Samoa,Control,Competitive - Role Queue,3.4,0.551
Tracer,Samoa,Control,Competitive - Role Queue,4.4,0.498
Vendetta,Samoa,Control,Competitive - Role Queue,3.8,0.469
Venture,Samoa,Control,Competitive - Role Queue,2.6,0.524
Widowmaker,Samoa,Control,Competitive - Role Queue,5.3,0.451
Winston,Samoa,Control,Competitive - Role Queue,4.6,0.5329999999999999
Wrecking Ball,Samoa,Control,Competitive - Role Queue,3.1,0.505
Wuyang,Samoa,Control,Competitive - Role Queue,9.1,0.501
Zarya,Samoa,Control,Competitive - Role Queue,4.3,0.46799999999999997
Zenyatta,Samoa,Control,Competitive - Role Queue,11.2,0.545
