rank,hero,pf_rating
1,Torbjörn,0.028650525246158444
2,Zenyatta,0.027592780320575692
3,Brigitte,0.027240198678714758
4,Reinhardt,0.027240198678714758
5,Symmetra,0.02688761703685386
6,Reaper,0.02635874457406246
7,Winston,0.02547729046941017
8,Anran,0.025477290469410156
9,Pharah,0.025300999648479722
10,Sierra,0.02424325472289698
11,Lúcio,0.02406696390196651
12,Mei,0.02406696390196651
13,Illari,0.02406696390196651
14,Venture,0.02389067308103605
15,Hazard,0.02371438226010561
16,Mizuki,0.02371438226010561
17,Junker Queen,0.02371438226010561
18,Ramattra,0.022656637334522837
19,Genji,0.021598892408940088
20,Sigma,0.02089372912521825
21,Domina,0.020717438304287798
22,Lifeweaver,0.020717438304287798
23,Juno,0.020717438304287798
24,Wrecking Ball,0.020541147483357343
25,Junkrat,0.020364856662426867
26,Moira,0.02001227502056596
27,Mauga,0.02001227502056596
28,Wuyang,0.019835984199635514
29,Tracer,0.01930711173684411
30,Ashe,0.018425657632191825
31,Doomfist,0.01824936681126137
32,Echo,0.0180730759903309
33,Soldier: 76,0.017720494348469992
34,Mercy,0.017544203527539527
35,Jetpack Cat,0.01701533106474815
36,Hanzo,0.01683904024381769
37,Kiriko,0.01648645860195677
38,Emre,0.016133876960095855
39,Bastion,0.015252422855443558
40,Cassidy,0.014723550392652182
41,D.Va,0.014723550392652182
42,Vendetta,0.01419467792986081
43,Zarya,0.014018387108930344
44,Sombra,0.0138420962879999
45,Orisa,0.0138420962879999
46,Roadhog,0.012079188078695314
47,Ana,0.012079188078695261
48,Widowmaker,0.01102144315311256
49,Freja,0.010668861511251635
50,Baptiste,0.010139989048460266
51,Sojourn,0.007848208376364296
